Player	Team	Gms	Rec	Yds	Avg	YPG	Lg	TD	FD	Tar	YAC
Adam Thielen	MIN	9	43	467	10.86	51.9	36	2	29	64	95
Mark Andrews	BAL	8	42	488	11.62	61.0	25	5	29	64	145
Amari Cooper	CLE	9	42	585	13.93	65.0	55	5	32	69	122
T.J. Hockenson	DET/MIN	9	42	510	12.14	56.7	81	3	24	62	244
Garrett Wilson	NYJ	9	42	521	12.40	57.9	54	2	25	68	200
Tee Higgins	CIN	9	41	564	13.76	62.7	59t	3	25	58	176
Rondale Moore	ARI	7	41	414	10.10	59.1	38t	1	16	56	281
Courtland Sutton	DEN	9	41	533	13.00	59.2	51	1	24	73	106
Dallas Goedert	PHI	8	40	521	13.03	65.1	31	2	29	50	348
Jakobi Meyers	NE	7	40	457	11.43	65.3	30t	3	22	52	139
DeVonta Smith	PHI	8	40	442	11.05	55.2	45	2	24	53	185
Parris Campbell	IND	10	39	373	9.56	37.3	38	3	20	54	221
Alvin Kamara	NO	8	39	338	8.67	42.2	54	2	11	53	320
D.J. Moore	CAR	10	39	478	12.26	47.8	62t	3	24	77	128
Robert Tonyan	GB	10	39	323	8.28	32.3	23	1	13	47	172
Hayden Hurst	CIN	9	38	303	7.97	33.7	21	2	18	48	123
Drake London	ATL	10	38	407	10.71	40.7	31	3	24	62	120
Terry McLaurin	WAS	9	38	609	16.03	67.7	49t	2	26	62	235
Joe Mixon	CIN	9	38	272	7.16	30.2	35	2	11	50	310
Tyler Boyd	CIN	9	37	537	14.51	59.7	60t	4	25	49	186
Josh Palmer	LAC	8	37	390	10.54	48.8	45	1	20	58	151
Mike Williams	LAC	7	37	495	13.38	70.7	50	3	21	59	188
Brandin Cooks	HOU	8	36	391	10.86	48.9	44	1	16	60	101
Evan Engram	JAX	10	36	352	9.78	35.2	28	1	15	51	176
Pat Freiermuth	PIT	8	36	403	11.19	50.4	31	1	20	55	134
DeAndre Hopkins	ARI	4	36	396	11.00	99.0	33	2	18	46	81
Darnell Mooney	CHI	10	36	464	12.89	46.4	56	1	19	56	143
Chase Claypool	CHI/PIT	10	35	332	9.49	33.2	26	1	18	58	123
Donovan Peoples-Jones	CLE	9	35	516	14.74	57.3	42	0	20	55	98
Rhamondre Stevenson	NE	9	35	227	6.49	25.2	22	1	9	43	236
Gerald Everett	LAC	9	34	364	10.71	40.4	26	2	16	55	179
Aaron Jones	GB	10	34	228	6.71	22.8	22	3	12	42	240
David Njoku	CLE	7	34	418	12.29	59.7	38	1	22	42	222
Deebo Samuel	SF	8	34	411	12.09	51.4	57t	2	14	60	314
Tyler Conklin	NYJ	9	33	316	9.58	35.1	27	3	16	50	173
Allen Lazard	GB	8	33	472	14.30	59.0	47	5	26	55	177
